train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.46618,0.6006,1.463846702100066,1.1488280307715106,0.53382,0.3994
0.67972,0.6748,0.9021065691700372,0.992563282987874,0.32028,0.3252
0.75338,0.7089,0.7103743598512982,0.915521536473256,0.24662,0.2911
0.7946,0.7796,0.6001599664464021,0.6782244628022431,0.2054,0.2204
0.81426,0.7867,0.5376151999091858,0.6438557396458972,0.18574,0.2133
0.83242,0.8058,0.49022385649516453,0.5968982434007013,0.16758,0.1942
0.84028,0.8014,0.45986367504843667,0.619155501863759,0.15972,0.1986
0.85148,0.8135,0.42845792609178807,0.5655320788834505,0.14852,0.1865
0.85814,0.8321,0.4070594133737752,0.5004953537966795,0.14186,0.1679
0.86408,0.84,0.3937911187558223,0.4726044971282315,0.13592,0.16
0.8697,0.8137,0.37877320037092393,0.5622145201370214,0.1303,0.1863
0.87152,0.8412,0.36923804280855466,0.5047900848517752,0.12848,0.1588
0.87766,0.8412,0.35435754556180266,0.4748603470006566,0.12234,0.1588
0.8793,0.8431,0.3473338856912025,0.5036987728753667,0.1207,0.1569
0.88372,0.8369,0.33691258807583235,0.5142120026099454,0.11628,0.1631
0.88488,0.8568,0.3319314128202398,0.44240905273302344,0.11512,0.1432
0.8888,0.8273,0.32142715170369734,0.5388086425840475,0.1112,0.1727
0.89006,0.8514,0.31807403450312516,0.4542292328966651,0.10994,0.1486
0.89012,0.8442,0.3195828575917217,0.47839780431833995,0.10988,0.1558
0.89152,0.8616,0.3115485456612561,0.42349271276953876,0.10848,0.1384
0.89592,0.871,0.300336898707063,0.3975381625306075,0.10408,0.129
0.8967,0.8719,0.29948410366083045,0.3886636964454772,0.1033,0.1281
0.89728,0.8616,0.2964404498696175,0.42697547708347344,0.10272,0.1384
0.89826,0.8722,0.2963534789850645,0.39994896340901687,0.10174,0.1278
0.90058,0.8745,0.28841019535194273,0.3874024496811211,0.09942,0.1255
0.90036,0.866,0.2836817176750554,0.4105332092304898,0.09964,0.134
0.9004,0.8557,0.2839909653034052,0.4473183398983281,0.0996,0.1443
0.90444,0.8818,0.27686585650762635,0.36320574282650736,0.09556,0.1182
0.90484,0.8767,0.2743888527840909,0.37948824854413415,0.09516,0.1233
0.90584,0.8476,0.2724132368441128,0.478168389599794,0.09416,0.1524
0.90904,0.8725,0.26510043367934044,0.38623396302484403,0.09096,0.1275
0.9092,0.8609,0.2639647234574227,0.4444345116235648,0.0908,0.1391
0.9079,0.844,0.2632151097249802,0.4937443261503414,0.0921,0.156
0.90932,0.8665,0.263568531588444,0.4173611523998771,0.09068,0.1335
0.9106,0.8871,0.25608829928138066,0.33572405776020825,0.0894,0.1129
0.91168,0.8707,0.2563855385555483,0.40950011922295687,0.08832,0.1293
0.91224,0.8707,0.2523547814839789,0.4055194334144805,0.08776,0.1293
0.91272,0.8872,0.2543850271197993,0.34314160561485657,0.08728,0.1128
0.91394,0.8747,0.24601050959828566,0.4005355830689904,0.08606,0.1253
0.91376,0.8842,0.24750448238399939,0.36419174302915097,0.08624,0.1158
0.9123,0.8737,0.25003690881383084,0.40122904661734393,0.0877,0.1263
0.91698,0.8682,0.24406054565954544,0.41065436487744567,0.08302,0.1318
0.91542,0.8733,0.243425042713847,0.3922054634732046,0.08458,0.1267
0.91608,0.8937,0.23901024959085848,0.3358281815222874,0.08392,0.1063
0.9175,0.882,0.23865405647346125,0.3657680553425649,0.0825,0.118
0.91622,0.8819,0.23966361466042527,0.3377242777377937,0.08378,0.1181
0.91746,0.8701,0.23719730204366662,0.4031996625908621,0.08254,0.1299
0.91846,0.8799,0.2334887754562718,0.36586581664100576,0.08154,0.1201
0.91854,0.8724,0.23251732357818147,0.41016575110376263,0.08146,0.1276
0.91998,0.8743,0.23350986012298128,0.38559029607256506,0.08002,0.1257
0.91832,0.8842,0.23205813293909783,0.3429063681489343,0.08168,0.1158
0.9199,0.878,0.23145466053958438,0.4194278855137764,0.0801,0.122
0.9243,0.8781,0.21899331182412937,0.4256667487180916,0.0757,0.1219
0.92118,0.8883,0.22767424657750313,0.33822778602884074,0.07882,0.1117
0.92128,0.8928,0.22593457703395267,0.3251425910527539,0.07872,0.1072
0.92364,0.886,0.22163866376480484,0.34575621916609967,0.07636,0.114
0.9245,0.8924,0.2191210981277401,0.3343000362158581,0.0755,0.1076
0.9242,0.9033,0.21908935603430812,0.3081900895496083,0.0758,0.0967
0.92378,0.8816,0.21688178638496514,0.3745349414978817,0.07622,0.1184
0.9245,0.8922,0.21800145847470406,0.3301318277409122,0.0755,0.1078
0.9229,0.8892,0.22115095976806814,0.367786846627855,0.0771,0.1108
0.92348,0.885,0.2191339352399187,0.35946715191291395,0.07652,0.115
0.92644,0.9057,0.21341914430622708,0.2830396529975211,0.07356,0.0943
0.92472,0.8825,0.2157878440321254,0.37793308121573393,0.07528,0.1175
0.9236,0.8827,0.21497840896877637,0.378415488513412,0.0764,0.1173
0.92664,0.8883,0.20879036085227567,0.34114722300107314,0.07336,0.1117
0.92638,0.8663,0.21167368457540678,0.4360759616087956,0.07362,0.1337
0.92486,0.883,0.21543547244804442,0.36928600139299017,0.07514,0.117
0.9275,0.8792,0.20893194415913824,0.39447241931394406,0.0725,0.1208
0.92672,0.894,0.20731928121879736,0.325463414002376,0.07328,0.106
0.92716,0.8885,0.20859732979532244,0.3364005160939162,0.07284,0.1115
0.9273,0.8905,0.20868789245519798,0.3349192187095144,0.0727,0.1095
0.92734,0.9005,0.20935274242802196,0.30951354467565084,0.07266,0.0995
0.92758,0.8955,0.20847034270463088,0.3234775813332029,0.07242,0.1045
0.9274,0.886,0.20854377417403566,0.3450741016181411,0.0726,0.114
0.92774,0.8991,0.20678172429637684,0.3049784630394665,0.07226,0.1009
0.93032,0.8924,0.2003244579152759,0.3520392904141147,0.06968,0.1076
0.92884,0.906,0.2031767855986686,0.292566415468219,0.07116,0.094
0.9295,0.8927,0.20320475764115295,0.33012128702014876,0.0705,0.1073
0.93048,0.8875,0.2019670439164733,0.3502951359293263,0.06952,0.1125
0.93018,0.8964,0.20311325667497446,0.3192081840080061,0.06982,0.1036
0.92942,0.8945,0.2041722817484604,0.32886484763614693,0.07058,0.1055
0.92998,0.9061,0.2004931950489121,0.29482091574152564,0.07002,0.0939
0.9311,0.8901,0.19918210807320713,0.34597654431868513,0.0689,0.1099
0.93114,0.8985,0.19897472347749773,0.3119923706362202,0.06886,0.1015
0.93022,0.8989,0.20238435372252903,0.30660997924341515,0.06978,0.1011
0.92918,0.903,0.20293086815311018,0.31558753640218906,0.07082,0.097
0.93242,0.8808,0.1973979363975394,0.3921357267981122,0.06758,0.1192
0.9308,0.9027,0.20005202412014575,0.312819639730985,0.0692,0.0973
0.92856,0.8593,0.20419596719181599,0.4726863819512592,0.07144,0.1407
0.92986,0.8892,0.1995438958191887,0.3486357155689009,0.07014,0.1108
0.93278,0.8752,0.19381655152896635,0.41007217688924946,0.06722,0.1248
0.92824,0.8927,0.20402277142400174,0.34371782502361165,0.07176,0.1073
0.9302,0.8854,0.1989202028249993,0.34855554229134966,0.0698,0.1146
0.93154,0.8958,0.19483549202151615,0.34777066391554606,0.06846,0.1042
0.9312,0.8909,0.19915125208437595,0.3343042263844211,0.0688,0.1091
0.93128,0.8893,0.1956096796504677,0.3501194231449419,0.06872,0.1107
0.93212,0.9027,0.19309953467258253,0.3134158899307631,0.06788,0.0973
0.92952,0.8878,0.19974709864315168,0.3563476018370337,0.07048,0.1122
0.93398,0.8815,0.19128786599087289,0.3810098154624556,0.06602,0.1185
0.93152,0.8736,0.19386948941423154,0.40823243928563063,0.06848,0.1264
0.93014,0.888,0.19766990526977096,0.33273469618741114,0.06986,0.112
0.92986,0.9009,0.2004860309250367,0.3046305103191904,0.07014,0.0991
0.93378,0.8967,0.19133182910397228,0.3192827223212856,0.06622,0.1033
0.9328,0.8943,0.19153861551905227,0.3361121181896917,0.0672,0.1057
0.93072,0.8903,0.19714143199612721,0.358267090455362,0.06928,0.1097
0.93328,0.8733,0.19254343769968013,0.4096269114951419,0.06672,0.1267
0.9342,0.8962,0.19016681775412597,0.33615427160528816,0.0658,0.1038
0.93474,0.9005,0.1910338896086149,0.3150053748469444,0.06526,0.0995
0.93214,0.8821,0.1932478545381285,0.3766480196433462,0.06786,0.1179
0.93414,0.8958,0.18756540971891503,0.31421499462074537,0.06586,0.1042
0.9326,0.8725,0.1945468760560007,0.43234286889149126,0.0674,0.1275
0.9345,0.8944,0.19085086672507284,0.32061858527409803,0.0655,0.1056
0.93518,0.886,0.18741636460318284,0.3730596686434594,0.06482,0.114
0.93498,0.8989,0.1891688948921154,0.32308716383899094,0.06502,0.1011
0.93424,0.8896,0.18758780314394122,0.3351300580866018,0.06576,0.1104
0.93272,0.9048,0.1902786806711684,0.2957339626825919,0.06728,0.0952
0.93626,0.879,0.18312157087904565,0.4297004482074148,0.06374,0.121
0.93258,0.8813,0.19171798091067377,0.3816622259795286,0.06742,0.1187
0.93576,0.9119,0.18212108424081064,0.287439208833655,0.06424,0.0881
0.93272,0.8886,0.19168507083869346,0.36443287698896065,0.06728,0.1114
0.9346,0.8869,0.18916659720261078,0.3642096458726628,0.0654,0.1131
0.93552,0.8852,0.18567955394839997,0.3928799220615891,0.06448,0.1148
0.93444,0.9003,0.18888009267637645,0.31479175630838246,0.06556,0.0997
0.9334,0.883,0.18774861144021038,0.37154959811336674,0.0666,0.117
0.93506,0.885,0.1826039791878913,0.3752003242825247,0.06494,0.115
0.93556,0.8896,0.18404285827427722,0.36476729079416603,0.06444,0.1104
0.93576,0.8958,0.18333980236250116,0.3190046091368244,0.06424,0.1042
0.93632,0.9054,0.1841007710608375,0.2901096167458091,0.06368,0.0946
0.934,0.8875,0.18947626183004787,0.37173565591027025,0.066,0.1125
0.93598,0.8998,0.18745105100028656,0.32045157301198146,0.06402,0.1002
0.93796,0.8849,0.17952407808864818,0.3817332226094926,0.06204,0.1151
0.93326,0.9033,0.18870693409953582,0.31065190417371735,0.06674,0.0967
0.93632,0.9074,0.18267990068039475,0.29875612738216,0.06368,0.0926
0.93372,0.9071,0.1889078678120204,0.30486670957439266,0.06628,0.0929
0.93628,0.8932,0.18222570322130038,0.35445353104050753,0.06372,0.1068
0.93502,0.8882,0.18450565451798995,0.36388482091722973,0.06498,0.1118
0.93848,0.8754,0.18079141468343224,0.40495864828680733,0.06152,0.1246
0.9369,0.8909,0.18211206107798134,0.33522613090314685,0.0631,0.1091
0.93466,0.8855,0.18701447680821198,0.3741700301409527,0.06534,0.1145
0.93564,0.8901,0.18315539717235985,0.34449318696738807,0.06436,0.1099
0.9363,0.9063,0.18170847213062483,0.3132241838107443,0.0637,0.0937
0.93662,0.8779,0.18468069187020097,0.4271035710242903,0.06338,0.1221
0.93482,0.9002,0.18617667770846877,0.3266945610855036,0.06518,0.0998
0.93728,0.8935,0.17765294563720752,0.3368130270273063,0.06272,0.1065
0.93626,0.8895,0.18272338013934053,0.35831152609768946,0.06374,0.1105
0.93732,0.8906,0.1792073703759238,0.3618005314355443,0.06268,0.1094
0.9357,0.8965,0.1836444502863128,0.33241923537793433,0.0643,0.1035
0.93406,0.9061,0.18481921396501685,0.3091061204482036,0.06594,0.0939
0.93676,0.8858,0.18113242891972023,0.36162584441102996,0.06324,0.1142
0.9705,0.9443,0.08913125569844033,0.17455684111281566,0.0295,0.0557
0.98208,0.9478,0.05851709796473041,0.17168212935897956,0.01792,0.0522
0.9862,0.9469,0.04718421502967777,0.1678524762392044,0.0138,0.0531
0.98758,0.9476,0.0418466555616816,0.16850709215186205,0.01242,0.0524
0.98982,0.9508,0.0351494450522277,0.16478205358336687,0.01018,0.0492
0.99036,0.9477,0.03206182417490751,0.1705172022769026,0.00964,0.0523
0.9921,0.9514,0.02834692040501196,0.1704980334278884,0.0079,0.0486
0.99294,0.9514,0.025126403650206984,0.16733223968630384,0.00706,0.0486
0.9931,0.9529,0.023619978824425538,0.16695630310732087,0.0069,0.0471
0.99366,0.9511,0.02252473224602316,0.1755664695505124,0.00634,0.0489
0.99394,0.9513,0.021075166042541605,0.17360672008269912,0.00606,0.0487
0.99484,0.9515,0.018955300940805688,0.1763080058583788,0.00516,0.0485
0.99544,0.952,0.017594336891723107,0.17674138079023666,0.00456,0.048
0.9958,0.9508,0.016390192777375735,0.18236598391441783,0.0042,0.0492
0.99662,0.9512,0.014557121716954214,0.17970347504137427,0.00338,0.0488
0.9964,0.9499,0.014720888984630176,0.18210111297429746,0.0036,0.0501
0.99654,0.9517,0.014512360296057313,0.18421554831182882,0.00346,0.0483
0.99686,0.9502,0.01286647827042948,0.18958541774635862,0.00314,0.0498
0.9971,0.9521,0.012261366242985896,0.18272486552121533,0.0029,0.0479
0.99748,0.953,0.011830279451158955,0.1839126250736273,0.00252,0.047
0.99728,0.9512,0.012096391547747585,0.18933320353934718,0.00272,0.0488
0.99766,0.953,0.010435692241886998,0.186996064320871,0.00234,0.047
0.99784,0.9523,0.010381909039662317,0.18685541178580303,0.00216,0.0477
0.9978,0.9515,0.010485738353884739,0.19127726607072126,0.0022,0.0485
0.99762,0.9502,0.010437490613869085,0.1932192080577088,0.00238,0.0498
0.99794,0.9521,0.009889143078452182,0.1932583355884643,0.00206,0.0479
0.9977,0.9512,0.009725649257564483,0.19140429163624526,0.0023,0.0488
0.99814,0.9525,0.008933950501405979,0.1988866517593147,0.00186,0.0475
0.99816,0.9518,0.008198082613784944,0.1945505594466902,0.00184,0.0482
0.99822,0.9511,0.008142236796448299,0.19527312128502092,0.00178,0.0489
0.99858,0.9509,0.007567264968553163,0.20079792727520512,0.00142,0.0491
0.99782,0.9532,0.009070229809493055,0.19190289440808023,0.00218,0.0468
0.9981,0.9508,0.008484634797057838,0.197187296097066,0.0019,0.0492
0.99826,0.9494,0.008146370601509233,0.205476316439498,0.00174,0.0506
0.99826,0.9514,0.007936089516372022,0.196482756050529,0.00174,0.0486
0.99864,0.9514,0.007410567015638132,0.1959808588882161,0.00136,0.0486
0.99856,0.9502,0.007830923951952659,0.19893323596875379,0.00144,0.0498
0.99794,0.9519,0.007953952821662358,0.20023142952163508,0.00206,0.0481
0.99866,0.9506,0.007596637820229506,0.20129501674870018,0.00134,0.0494
0.99828,0.9514,0.008109471777363507,0.20095638838258517,0.00172,0.0486
0.99834,0.9514,0.007540761762301025,0.19969713991614663,0.00166,0.0486
0.99844,0.9497,0.007447296886912087,0.20116584631762688,0.00156,0.0503
0.99838,0.953,0.007844905457114014,0.19767397967208722,0.00162,0.047
0.99836,0.9511,0.007516732429871169,0.20159840593292455,0.00164,0.0489
0.99854,0.954,0.006783069285285442,0.20075481000599588,0.00146,0.046
0.99818,0.9531,0.00740545557911896,0.19629033118676228,0.00182,0.0469
0.99856,0.9493,0.007533325149160822,0.20721108547061873,0.00144,0.0507
0.99854,0.9524,0.007412661357647013,0.20212732350370685,0.00146,0.0476
0.9988,0.9519,0.006721607878651765,0.20183768085423548,0.0012,0.0481
0.99876,0.9514,0.006614711812085203,0.2029928203411163,0.00124,0.0486
0.99832,0.9529,0.007351078197855474,0.1994213258289987,0.00168,0.0471
0.99866,0.9504,0.006029858789823549,0.20633288014941153,0.00134,0.0496
0.99872,0.9506,0.006571411919753875,0.20669304826267207,0.00128,0.0494
0.99866,0.9503,0.006468196092244914,0.20958616432680446,0.00134,0.0497
0.9986,0.9487,0.006254780832725718,0.20762838159871708,0.0014,0.0513
0.99882,0.9497,0.0066350128530236465,0.21264837302599743,0.00118,0.0503
0.9977,0.9497,0.00875626691162129,0.2011873302091459,0.0023,0.0503
0.99814,0.9508,0.00779360624701928,0.20794307753728453,0.00186,0.0492
0.99792,0.9468,0.008131447612591412,0.22377620737074286,0.00208,0.0532
0.99844,0.9504,0.007209868010733743,0.20996646471558864,0.00156,0.0496
0.9984,0.9477,0.007195466281393605,0.20924890273885363,0.0016,0.0523
0.99824,0.9484,0.007463443890938064,0.2090457314328783,0.00176,0.0516
0.99822,0.9488,0.007753801181950532,0.21018269821811633,0.00178,0.0512
0.99786,0.9476,0.00844375230848332,0.2213755853616508,0.00214,0.0524
0.99844,0.9479,0.0075444178870114524,0.21178769804300016,0.00156,0.0521
0.99756,0.9452,0.00894917047980344,0.22449940623371464,0.00244,0.0548
0.99768,0.9469,0.009212601891792644,0.21272499038345494,0.00232,0.0531
0.99752,0.9444,0.009505282506308593,0.23117526108102435,0.00248,0.0556
0.99748,0.9459,0.01011911925890714,0.22487205124584733,0.00252,0.0541
0.99734,0.9471,0.010070062535421928,0.22810193450207922,0.00266,0.0529
0.99768,0.9459,0.009157099225141508,0.22058709585078204,0.00232,0.0541
0.9966,0.9457,0.011576479296092792,0.22207752223701993,0.0034,0.0543
0.99774,0.9477,0.009043124916455935,0.21320077060324372,0.00226,0.0523
0.9977,0.9454,0.010232950872777369,0.23803608295074694,0.0023,0.0546
0.99742,0.9503,0.009613430122737689,0.2149974392477874,0.00258,0.0497
0.99854,0.9511,0.006769525844727635,0.2061262482623006,0.00146,0.0489
0.999,0.9524,0.005110439318029777,0.20129033652650322,0.001,0.0476
0.99906,0.9533,0.004639105480688307,0.20323588535379453,0.00094,0.0467
0.99948,0.9541,0.00396588135062886,0.19757285550426526,0.00052,0.0459
0.99954,0.9549,0.0036365688466431234,0.19628562721287368,0.00046,0.0451
0.99944,0.9536,0.0039221560511061605,0.19702854517633747,0.00056,0.0464
0.99946,0.9542,0.0032565073512704173,0.20100350801352482,0.00054,0.0458
0.9994,0.9533,0.0035475829706701173,0.2015895887639872,0.0006,0.0467
0.99952,0.9533,0.0031774713731635255,0.19651412591338158,0.00048,0.0467
0.99968,0.9531,0.0029547871340571156,0.19918527477865766,0.00032,0.0469
0.99956,0.9524,0.0027871073683356997,0.19958608761239963,0.00044,0.0476
0.99966,0.9527,0.0030606126465151074,0.19525171401109664,0.00034,0.0473
0.99952,0.9537,0.003058529580416887,0.19785868969692547,0.00048,0.0463
0.99962,0.954,0.0030082500327731033,0.19757787147714834,0.00038,0.046
0.9996,0.9537,0.0028306406820216754,0.19992443525297626,0.0004,0.0463
0.99952,0.9542,0.0030337640315370486,0.19535553218073146,0.00048,0.0458
0.9998,0.9536,0.002598544192093108,0.20093189958174518,0.0002,0.0464
0.99972,0.9553,0.0027694291890124835,0.1928025265313258,0.00028,0.0447
0.99972,0.9535,0.002730802892495299,0.19940238332103014,0.00028,0.0465
0.99982,0.954,0.0023740776207136073,0.19967646398551905,0.00018,0.046
0.99974,0.9539,0.002569215262637419,0.19965101223272883,0.00026,0.0461
0.9997,0.9539,0.002504211905248025,0.19799236519036778,0.0003,0.0461
0.99978,0.9538,0.002388330433717774,0.19683203407248873,0.00022,0.0462
0.99966,0.9545,0.002667713086204151,0.19958573359118145,0.00034,0.0455
0.9999,0.9547,0.002110384881039105,0.1990120700637626,0.0001,0.0453
0.99986,0.9537,0.00231138517236923,0.19820491404859883,0.00014,0.0463
0.99972,0.9539,0.002315129722704363,0.1973400726012743,0.00028,0.0461
0.9998,0.9532,0.002224371404103611,0.1974957510828972,0.0002,0.0468
0.99974,0.9551,0.002277593859626204,0.1982979648242331,0.00026,0.0449
0.99986,0.9542,0.0021877380807305237,0.19827456143536384,0.00014,0.0458
0.9998,0.953,0.002059110252143782,0.19920074042810756,0.0002,0.047
0.99982,0.9547,0.0021307904397130316,0.20451877807166166,0.00018,0.0453
0.99974,0.9544,0.0022466134880204944,0.2028003401911942,0.00026,0.0456
0.9999,0.9535,0.0018824167892603617,0.1983000395736497,0.0001,0.0465
0.9999,0.9549,0.002098183507276008,0.19812093893433833,0.0001,0.0451
0.99982,0.9538,0.002204085683540615,0.19967241732368043,0.00018,0.0462
0.99982,0.9538,0.0020823516666203202,0.20055687750221057,0.00018,0.0462
0.99978,0.9549,0.0021553422750719368,0.1947733859774793,0.00022,0.0451
0.99982,0.9541,0.0020952341111038653,0.1963633386667367,0.00018,0.0459
0.99974,0.9538,0.0022920045687262053,0.20042802372081264,0.00026,0.0462
0.99962,0.9531,0.002450920088821665,0.19958319149579212,0.00038,0.0469
0.99972,0.9541,0.002065760843322405,0.1984206996146281,0.00028,0.0459
0.99986,0.9546,0.0020764700954070178,0.19622791375798784,0.00014,0.0454
0.9998,0.9544,0.001978058177415672,0.19734904181900298,0.0002,0.0456
0.99986,0.9538,0.0019224588818790968,0.20310322275966597,0.00014,0.0462
0.99982,0.954,0.00198627115629823,0.1995395817052407,0.00018,0.046
0.99992,0.9537,0.0019424650246453712,0.20116743628101744,8e-05,0.0463
0.99986,0.9536,0.0019616979314847982,0.20084285626935353,0.00014,0.0464
0.99984,0.9544,0.0019752483081329816,0.20048558681159262,0.00016,0.0456
0.99974,0.9528,0.0020396966973076696,0.20207689446248825,0.00026,0.0472
0.9999,0.9539,0.0017248632343452605,0.19824443529745575,0.0001,0.0461
0.99982,0.9539,0.0018790304622686733,0.19688270316951595,0.00018,0.0461
0.99976,0.9541,0.001991364066405674,0.20095917214728465,0.00024,0.0459
0.9998,0.9539,0.0021447495169118237,0.19690995127152486,0.0002,0.0461
0.99996,0.9544,0.0017878812311402977,0.1988088835718905,4e-05,0.0456
0.9998,0.9554,0.002058327945944903,0.19721071690226058,0.0002,0.0446
0.99978,0.9525,0.001993893643321893,0.20485015056884973,0.00022,0.0475
0.99988,0.9541,0.001662253147310308,0.20071079000640826,0.00012,0.0459
0.99982,0.9547,0.0019185706982603463,0.1988072447526227,0.00018,0.0453
0.99984,0.9548,0.0018669045137246246,0.20057845405142777,0.00016,0.0452
0.99982,0.9544,0.0018487586199170184,0.20236760069420384,0.00018,0.0456
0.99992,0.955,0.0018199355534427916,0.19528058232964984,8e-05,0.045
0.99974,0.9547,0.0020482771603576363,0.19591535264804105,0.00026,0.0453
0.99982,0.9552,0.001813290635947986,0.19647684354026607,0.00018,0.0448
0.99982,0.9538,0.0019289162391058318,0.2025424029891658,0.00018,0.0462
0.9999,0.9545,0.0017811917387844656,0.19846455525061127,0.0001,0.0455
0.99982,0.9539,0.0017789634816405718,0.20015849341537542,0.00018,0.0461
0.99988,0.9554,0.0016597092218335022,0.19479276975438853,0.00012,0.0446
0.99988,0.9543,0.0017115502234767465,0.1962588050989968,0.00012,0.0457
0.99988,0.9547,0.001725090948669502,0.19979995901987052,0.00012,0.0453
0.99986,0.9539,0.0017214911796933855,0.1983771279549143,0.00014,0.0461
0.99988,0.9548,0.001716478063208063,0.19533645271495648,0.00012,0.0452
0.99992,0.9545,0.001656269687978203,0.19352239306280566,8e-05,0.0455
0.99984,0.9553,0.001868569404077347,0.19826291651008235,0.00016,0.0447
0.99986,0.9547,0.00175603002290744,0.19908045654653744,0.00014,0.0453
